value,label
36,"Aquilia"
76,"Aquilina"
159,"Aquilini"
255,"Aquilino"
19,"Aquilio"
48,"Aquilone"
480,"Aquino"
149,"Ara"
104,"Arabia"
49,"Arace"
79,"Aracri"
32,"Arado"
20,"Aradori"
3,"Aragnetti"
112,"Aragno"
253,"Aragona"
34,"Aragone"
21,"Aragoni"
39,"Aragosa"
21,"Araimo"
211,"Araldi"
25,"Araldo"
20,"Aralla"
1,"Arambage"
269,"Aramini"
107,"Aramu"
185,"Arancio"
55,"Araneo"
32,"Arangino"
78,"Arangio"
38,"Aranzulla"
20,"Arasi"
299,"Arata"
29,"Aratari"
71,"Arati"
89,"Arato"
33,"Aravecchia"
19,"Arbasetti"
37,"Arbasi"
34,"Arbini"
28,"Arbitrio"
95,"Arbizzani"
36,"Arboit"
108,"Arbore"
30,"Arborea"
30,"Arborio"
24,"Arbuatti"
23,"Arbucci"
67,"Arcadi"
56,"Arcadio"
44,"Arcadipane"
96,"Arcaini"
34,"Arcaleni"
123,"Arcamone"
48,"Arcangeletti"
751,"Arcangeli"
28,"Arcangeloni"
65,"Arcangioli"
22,"Arcano"
46,"Arcara"
30,"Arcarese"
286,"Arcari"
9,"Arcaria"
144,"Arcaro"
117,"Arcella"
21,"Arcellaschi"
98,"Arcelli"
123,"Arceri"
32,"Arcerito"
27,"Arces"
105,"Arcese"
37,"Arch"
20,"Archenti"
409,"Archetti"
28,"Archi"
30,"Archidiacono"
10,"Archieri"
35,"Archilletti"
29,"Archina"
21,"Archinti"
34,"Architetto"
650,"Arcidiacono"
56,"Arciello"
291,"Arcieri"
87,"Arciero"
55,"Arcifa"
86,"Arcioni"
6,"Arcisto"
34,"Arciuolo"
46,"Arco"
20,"Arcobelli"
78,"Arcodia"
74,"Arcoleo"
66,"Arcolin"
34,"Arcolini"
28,"Arcone"
70,"Arcopinto"
42,"Arcoraci"
28,"Arcoria"
26,"Arcozzi"
71,"Arcucci"
651,"Arcuri"
54,"Arcuti"
51,"Ardagna"
23,"Ardanese"
118,"Ardenghi"
54,"Ardente"
56,"Ardenti"
113,"Ardesi"
52,"Ardia"
10,"Ardiani"
19,"Ardigo"
108,"Ardigo'"
6,"Ardilli"
45,"Ardillo"
27,"Ardinghi"
48,"Ardini"
42,"Ardino"
34,"Ardiri"
128,"Ardissone"
22,"Ardit"
46,"Ardita"
89,"Arditi"
580,"Ardito"
75,"Ardizio"
51,"Ardizzi"
62,"Ardizzoia"
51,"Ardizzon"
391,"Ardizzone"
122,"Ardizzoni"
47,"Ardoino"
178,"Ardolino"
56,"Ardone"
23,"Ardore"
59,"Ardovini"
47,"Ardovino"
152,"Ardu"
22,"Arduca"
863,"Arduini"
276,"Arduino"
23,"Ardusso"
43,"Arecchi"
154,"Arecco"
3,"Arellaro"
15,"Arelli"
2653,"Arena"
43,"Arenella"
23,"Areniello"
41,"Aresca"
22,"Aresco"
99,"Arese"
81,"Aresta"
34,"Aretano"
32,"Aretini"
28,"Aretino"
45,"Arezzi"
60,"Arezzini"
81,"Arezzo"
34,"Arfanotti"
51,"Arfelli"
29,"Arfilli"
23,"Arfinengo"
51,"Arfini"
37,"Arfuso"
34,"Argalia"
43,"Arganese"
