value,label
559,"Agosta"
27,"Agostani"
15,"Agostaro"
30,"Agosteo"
705,"Agosti"
76,"Agostinacchio"
959,"Agostinelli"
26,"Agostinello"
41,"Agostinetti"
128,"Agostinetto"
2822,"Agostini"
1,"Agostini-agostudio"
91,"Agostinis"
569,"Agostino"
39,"Agostinone"
236,"Agosto"
199,"Agostoni"
53,"Agovino"
105,"Agozzino"
21,"Agradi"
123,"Agrati"
36,"Agrelli"
58,"Agrello"
212,"Agresta"
364,"Agresti"
39,"Agrestini"
47,"Agretti"
34,"Agri"
84,"Agricola"
36,"Agrifoglio"
140,"Agrillo"
21,"Agrimonti"
20,"Agrippino"
5,"Agriturismo"
29,"Agrosi'"
1,"Agrturismo"
49,"Agrusa"
18,"Agueli"
37,"Agugiaro"
68,"Aguglia"
148,"Aguiari"
323,"Agus"
21,"Aguti"
329,"Aguzzi"
96,"Aguzzoli"
25,"Aguzzoni"
1,"Ai"
52,"Aiardi"
56,"Aiassa"
162,"Aiazzi"
161,"Aicardi"
79,"Aielli"
2673,"Aiello"
33,"Aieta"
35,"Aiezza"
29,"Aimale"
171,"Aimar"
29,"Aimaretti"
26,"Aimaro"
69,"Aimasso"
191,"Aime"
21,"Aimetta"
47,"Aimetti"
21,"Aimino"
188,"Aimo"
37,"Aimola"
224,"Aimone"
42,"Aimonetto"
93,"Aina"
36,"Ainardi"
22,"Aini"
22,"Ainis"
22,"Aino"
124,"Aiolfi"
59,"Airaldi"
23,"Airale"
22,"Airi"
62,"Airola"
731,"Airoldi"
68,"Aisa"
25,"Aisoni"
87,"Aiudi"
31,"Aiuti"
60,"Aiuto"
27,"Ajelli"
77,"Ajello"
34,"Ajmone"
16,"Ajovalasit"
1,"Al"
124,"Alabiso"
31,"Alabrese"
9,"Alagio"
284,"Alagna"
28,"Alagona"
684,"Alaimo"
39,"Alamanni"
47,"Alamia"
210,"Alampi"
106,"Alari"
129,"Alario"
78,"Alasia"
21,"Alasonatti"
127,"Alati"
464,"Alba"
61,"Albamonte"
44,"Albanelli"
30,"Albanello"
2531,"Albanese"
498,"Albanesi"
679,"Albani"
25,"Albanito"
1522,"Albano"
32,"Albarano"
39,"Albarella"
61,"Albarelli"
137,"Albarello"
48,"Albasi"
60,"Albasini"
8,"Albenzio"
120,"Albera"
82,"Alberani"
27,"Alberati"
54,"Alberelli"
37,"Albergamo"
30,"Alberganti"
62,"Albergati"
78,"Alberghina"
293,"Alberghini"
166,"Albergo"
88,"Albergoni"
32,"Albergucci"
107,"Alberi"
32,"Albericci"
305,"Alberici"
180,"Alberico"
31,"Alberighi"
37,"Alberigi"
16,"Alberigo"
246,"Alberini"
43,"Alberino"
230,"Alberio"
21,"Alberione"
25,"Alberizzi"
85,"Albero"
63,"Alberoni"
24,"Alberta"
27,"Albertalli"
37,"Albertani"
86,"Albertario"
348,"Albertazzi"
46,"Albertella"
170,"Albertelli"
27,"Albertengo"
6,"Albertetti"
2943,"Alberti"
341,"Albertin"
18,"Albertinazzi"
24,"Albertinelli"
1338,"Albertini"
46,"Albertino"
233,"Alberto"
21,"Albertone"
161,"Albertoni"
41,"Albesano"
26,"Albesiano"
20,"Albezzano"
22,"Albiati"
37,"Albicini"
143,"Albieri"
195,"Albiero"
728,"Albini"
160,"Albino"
9,"Albisetti"
90,"Albizzati"
91,"Albo"
4,"Alboccino"
12,"Alboino"
175,"Albonetti"
77,"Alboni"
122,"Albonico"
38,"Albore"
13,"Albore'"
33,"Alboresi"
393,"Alborghetti"
26,"Albori"
51,"Alborino"
46,"Albricci"
29,"Albrici"
4,"Albrighi"
33,"Albrile"
118,"Albrizio"
25,"Albuzzi"
34,"Alcaini"
75,"Alcamo"
70,"Alcaro"
49,"Alchieri"
19,"Alchini"
83,"Alciati"
65,"Alcini"
20,"Alde'"
215,"Aldegheri"
190,"Aldeghi"
35,"Aldeni"
140,"Alderighi"
24,"Alderigi"
22,"Alderisio"
30,"Alderotti"
35,"Alderuccio"
118,"Aldi"
20,"Aldieri"
22,"Aldigeri"
99,"Aldighieri"
154,"Aldini"
48,"Aldinucci"
32,"Aldovini"
113,"Aldrighetti"
